Title and MP3 link	Composer or Performer	Instrumentation	Link
Piano Sonata no. 8 op. 13 (“Pathétique”), second movement	Ludwig van Beethoven	Piano	http://www.archive.org/download/PaulTarterSonataPathetiqueII/04SonataPathetique2ndMovement.mp3
Sonata no. 14 (“Moonlight”), op. 27 no. 2, second movement	Ludwig van Beethoven	Piano	http://www.archive.org/download/BeethovenPianoSonataNo.14moonlightrubinstein/05Beethoven_PianoSonata14InCSharpMinorOp.27_2_moonlight_-2.Allegretto.mp3
Symphony no. 8, op. 93, third movement	Ludwig van Beethoven	Symphony	http://www.archive.org/download/BeethovenSymphonyNo.8/03.tempoDiMenuetto.mp3
String Trio in E-flat major, op. 34 no. 3, G 103	Luigi Boccherini	String trio	http://www.archive.org/download/G103-3Menuetto/G103-3Menuetto.mp3
Suite in D	George Handel	String quartet	http://www.archive.org/download/Handel-SuiteInD/01Track1_vbr.mp3
String quartet no. 41 in D major (“The Frog”), op. 50 no. 6, third movement	Joseph Haydn	String quartet	http://www.archive.org/download/HaydnQuartetInDMajorOp.50No.6/Iii.MinuettoAllegretto.mp3
Symphony no. 92 (“Oxford”), third movement	Joseph Haydn	Symphony	http://www.archive.org/download/HaydnSymphonyNo.92oxford/Iii.Menuetto_Allegro.mp3
Symphony no. 40 in G minor, K. 550, third movement	Wolfgang Amadeus Mozart	Symphony	http://www.archive.org/download/Mozart_Symphony_40/3_Menuetto-Allegretto-Trio.mp3
Minuet in G major, op. 14 no. 1	Ignacy Jan Paderewski	Piano	http://www.archive.org/download/MenuetOp14No1/menuet.mp3
Minuet in G minor	Christian Petzold	Horns	http://www.archive.org/download/BachMinuetInGMajorwrittenInGMinor/MinuetGMinor_64kb.mp3
Gigue en Rondeau	Jean-Phillippe Rameau	Synthesized guitar	http://www.archive.org/download/ANicePair/GigueEnRondeau.mp3
Symphony no. 1, third movement	Robert Schumann	Symphony	http://www.archive.org/download/SchumannSymphonyNo.1/Iii.MoltoVivace.mp3
Symphony in E-flat major, op. 13 no. 3, third movement	Johann Stamitz	Chamber orchestra	http://www.archive.org/download/Minuetto-Sinfonia-Stamitz/05-johannStamitz-SymphonieF2Oboen2HrnerStreichorchesterEs-dur-Moderato.mp3
Nutcracker Suite no. 2, “Marche”	Pyotr Tchaikovsky	Orchestra	http://www.archive.org/download/TchaikovskyNutcrackerSuite/02Marche.mp3
Minuet	Unknown	Mandolin ensemble	http://www.archive.org/download/kmc20090927Menuet1_2/20090927Menuet1_2.mp3
Frankie & Johnny	Louis Armstrong	Singer and piano	http://www.archive.org/download/LouisArmstrong-FrankieJohnny/LouisArmstrong-FrankieJohnny.mp3
Perfidia	Benny Goodman	Singer and full band	http://www.archive.org/download/BennyGoodman_10/BennyGoodman-Perfidia-helenForest_64kb.mp3
Hungarian Rag	Edison Military Band	Full band	http://www.archive.org/download/edba-2089/edba-2089_vbr.mp3
Henpecked Blues	Isham Jones and His Orchestra	Full band	http://www.archive.org/download/Free_20s_Jazz_Collection/Henpecked_Blues_64kb.mp3
Joseph Lamb	Scott Joplin	Piano	http://www.archive.org/download/ScottJoplin/ScottJoplin-JosephLamb1908_64kb.mp3
Pine Apple Rag	Scott Joplin	Piano	http://www.archive.org/download/ScottJoplin/ScottJoplin-PineappleRag1908_64kb.mp3
The Ragtime Dance	Scott Joplin	Piano	http://www.archive.org/download/ScottJoplin/ScottJoplin-RagtimeDance1906_64kb.mp3
Piano Roll Blues	Scott Joplin	Piano	http://www.archive.org/download/ScottJoplin/ScottJoplin-PianoRollBlues1900_64kb.mp3
Dixieland One-Step	Lopez and Hamilton’s Kings of Harmony	Jazz combo	http://www.archive.org/download/EDIS-SRP-0099-14/EDIS-SRP-0099-14.mp3
Maple Leaf Rag	Tom McDermott	Piano trio	http://www.archive.org/download/NewOrleansJazzBand-MapleLeafRag1922est/NewOrleansJazzBand-MapleLeafRag1922est.mp3
Four Or Five Times	King Oliver	Singer and full band	http://ia311243.us.archive.org/3/items/Free_20s_Jazz_Collection/4or5x_64kb.mp3
Sensation Rag	Original Dixieland Jazz Band	Jazz combo	http://www.archive.org/download/SensationRag-OneStep/SensationRag_vbr.mp3
Eccentric Rag	Oriole Orchestra	Full band	http://www.archive.org/download/OrioleOrch-EccentricRag1924/OrioleOrch-EccentricRag1924.mp3
Alexander, Where’s That Band?	Parham-Pickett Apollo Syncopators	Full band	http://ia311243.us.archive.org/3/items/Free_20s_Jazz_Collection/Alexander_Wheres_That_Band_64kb.mp3
Say It With Music	Red Nichols & His Five Pennies	Singer and full band	http://ia301537.us.archive.org/2/items/1920s-redNicholsHisFivePennies-21-30/RedNicholsHisFivePennies-SayItWithMusic1929brunswick78rpm.mp3
